EnterLogin;123123123123Введите имя пользователя
Обработанная_площадь_процент;Обработанная площадь, %
Осталось_закрыть_га;Осталось закрыть, га
Период_выполнения_запланированной_операции;Период выполнения запланированной операции
Площадь_полей_под_культурой_га;Площадь полей под культурой, га
Расход_топлива_общий_л;Расход топлива общий, л
Средний_расход_топлива_в_час_л;Средний расход топлива в час, л
Средний_расход_топлива_на_1_га_л;Средний расход топлива на 1 га, л
Технологическая_операция;Технологическая операция
Производительность_га_ч;Производительность, га/ч
Расход_топлива_в_час_л;Расход топлива в час, л
Расход_топлива_на_1_га_л;Расход топлива на 1 га, л
Период_выполнения_операции;Период выполнения операции
Агротехническое_мероприятие;Агротехническое мероприятие
Время_начала_работы;Время начала работы
Время_окончания_работы;Время окончания работы
Место_начала_работы;Место начала работы
Наименование_ТМЦ_с_указанием_номинала;Наименование ТМЦ (с указанием номинала)
Норма_внесения_высева;Норма внесения/высева
Объём_ТМЦ_т;Объём ТМЦ, т
Учётная;Учётная
Количество_хозяйств;Количество хозяйств
Средний_индекс_NDVI;Средний индекс NDVI за
Болезнь;Болезнь
Вредитель;Вредитель
Сорняк;Сорняк
Вредители_количество;Вредители, количество
Количество_шт_кв_м;Количество шт/кв.м
Процент_пораженности;% пораженности
Рекомендации;Рекомендации
Сорные_растения;Сорные растения
Фазы_развития_культуры;Фазы развития культуры
Фотопримечания;Фотопримечания
Отчет_о_посещении_полей;Отчет о посещении полей
Хозяйство;Хозяйство
Холдинг;Холдинг
Учётн;Учётн
Учётная_площадь_га;Учётная площадь, га
Марка_трактора;Марка трактора
Наличие_оборудования;Наличие оборудования
Слив;Слив
Акт_нак;Акт/нак
Cоздано;Cоздано
Заправка_л;Заправка, л
Количество_топлива_л;Количество топлива, л
Модель_производитель_техники;Модель, производитель техники
Название_датчика;Название датчика
Расход_топлива_л;Расход топлива, л
Сводная_информация;Сводная информация:
Средняя_урожайность;Средняя урожайность
Единица_измерения;Единица измерения
Зарплата_руб;Зарплата, руб
Объем_перевозок_т_км;Объем перевозок, Т*км
Отработано_за_смену_м_час;Отработано за смену, м/час
Отработано_за_смену_час;Отработано за смену, час
Расход_ГСМ_по_норме_за_весь_объем_работы_л;Расход ГСМ по норме за весь объем работы, л
Расход_ГСМ_по_норме_за_ед_выполненной_работы_л;Расход ГСМ по норме за ед. выполненной работы, л
Расход_ГСМ_по_факту_за_единицу;Расход ГСМ по факту (за единицу)
Расход_ГСМ_по_факту_за_работу;Расход ГСМ по факту (за работу)
Расценка_за_ед_выполненной_работы_руб;Расценка за ед. выполненной работы, руб
Убрано_т;Убрано, т
Дата_и_время_отгрузки;Дата и время отгрузки
Дата_и_время_взвешивания;Дата и время взвешивания
Вес_с_бункера_т;Вес с бункера, т
Взвешивание_на_весовой_т;Взвешивание на весовой, т
ТС_выгрузки;Транспортное средство выгрузки
Длительность_выгрузки;Длительность выгрузки, мин
Начало_выгрузки;Начало выгрузки
Окончание_выгрузки;Окончание выгрузки
Транспорт;Транспорт
Разница_в_весе_т;Разница в весе, т
Дата_время;Дата/время
Солнечная_радиация;Солнечная радиация, W/m2
Температура_;Температура, °C
Точка_росы;Точка росы, °C
Площадь_га;Площадь, Га
Время_движения;Время движения
Время_начала_действия;Время начала действия
Время_окончания_действия;Время окончания действия
Затрачено_ГСМ;Затрачено ГСМ, л
Общее_время_выбранного_периода;Общее время выбранного периода
Пробег_накопительным_итогом_км;Пробег накопительным итогом, км
Пробег_км2;Пробег, км
за_месяц;за месяц
Накопительно;Накопительно
по_уч;по уч
по_хозяйству;по хозяйству
с_начала_года;с начала года
ФИО_учётчика;ФИО учётчика
Э_га;Э/га
Подпись;Подпись
Количество_забитых_сошников;Количество забитых сошников
Название_сеялки;Название сеялки
Норма_высева_семян_кг_га;Норма высева семян, кг/га
Скорость_км_ч;Скорость, км/ч
Время_подачи_воды_ч;Время подачи воды, ч
Затрачено_воды_м_куб;Затрачено воды, куб. м
Норма_вылива_мм;Норма вылива, мм
Площадь_орошения_га;Площадь орошения, га
Система_орошения;Система орошения
Среднее_давление_бар;Среднее давление, бар
Дата_начала_не_должна_быть_больше_даты_окончания;Дата начала не должна быть больше даты окончания
Маршрут_связан_с_подоперациями;Маршрут связан с одной или несоклькими подоперациями
Нарушение_уникальности;Нарушение уникальности
не_найден;не найден
Пользователь_контролирующий_в_подоперациях;Пользователь указан как контролирующий в одной или нескольких подоперациях
Пользователь_ответственный_в_подоперациях;Пользователь указан как ответственный в одной или нескольких подоперациях
ТС_с_идентификатором;ТС с идентификатором
Подопераций_с_идентификатором;Подопераций с идентификатором
Удалена;Удалена
Подразделение_с_идентификатором;Подразделение с идентификатором
в_справочнике;в справочнике
Модели_;Модели
механизатор_;механизатор
Технологические_карты_в_долгосрочном_планировании;Технологические карты в долгосрочном планировании
Обновлять_системные_записи_может_только_суперпользователь;Обновлять системные записи может только суперпользователь.
Добавлять_системные_записи_может_только_суперпользователь;Добавлять системные записи может только суперпользователь
Удалять_системные_записи_может_только_суперпользователь;Удалять системные записи может только суперпользователь
Модель_используется_в_орудиях;Модель используется в орудиях
Модель_используется_в_транспортных_средствах;Модель используется в транспортных средствах
Операции;Операции
На_утверждении;На утверждении
Отправить_на_утверждение;Отправить на утверждение
Вернуть_в_работу;Вернуть в работу
Вернуть_на_утверждение;Вернуть на утверждение
Ошибок;Ошибок
Успешно;Успешно
этапов_обработки;этапов обработки
Рабочие_смены;Рабочие смены
Последний_расчет_взаимных_перекрытий;Последний расчет взаимных перекрытий
Суммарная_площадь_осмотров;Суммарная площадь осмотров
Копирование_исходных_контуров_участков;Исходных контуров участков
Поля_пересечения;Поля пересечения
Отклонений_не_выявлено;Отклонений не выявлено
Высота_растений;Высота растений
Глубина_залегания_влаги;Глубина залегания влаги
Коэффициент_массы_1000_семян;Коэффициент массы 1000 семян
Осыпание_зерна_на_м2;Осыпание зерна на м2
Полегание_растений;Полегание растений
Потери_за_комбайном;Потери за комбайном
Среднее_количество_полновесных_зерен_в_колосе_с_5ти_растений;Среднее количество полновесных зерен в колосе с 5-ти растений
Среднее_количество_продуктивных_колосьев_с_5ти_растений;Среднее количество продуктивных колосьев с 5-ти растений
Доступные_участки;Доступные участки
Предшественник;Предшественник
Использовать_системные_записи;Использовать системные записи
Материально_ответственное_лицо;Материально ответственное лицо
Паспорт_ряда;Паспорт ряда
Количество_посадочных_мест;Количество посадочных мест
Деревья;Деревья
Ширина_междурядья;Ширина междурядья
Номер_дерева;Номер дерева
Поля_деревьев;Поля деревьев
Пропущенные_кварталы;Пропущенные кварталы
Пропущенные_ряды;Пропущенные ряды
Существующие_кварталы;Существующие кварталы
Существующие_поля;Существующие поля
Существующие_ряды;Существующие ряды
Доступно_при_выбранном_подразделении;Доступно при выбранном подразделении
Наличие_антиградовой_сетки;Наличие антиградовой сетки
Сортовой_состав;Сортовой состав
Схема_посадки;Схема посадки
Отображать_только_выбранные_параметры_в_осмотре;Отображать только выбранные параметры в осмотре
Добавить_дерево;Добавить дерево
Посадить_новое_дерево;Посадить новое дерево
Показать_историю_посадок;Показать историю посадок
Скрыть_историю_посадок;Скрыть историю посадок
GeoTiff_NDVI;GeoTiff с NDVI
NDVI_из_изображений;NDVI из изображений
Сорта;Сорта
Тип_для_оценки_качества;Тип для оценки качества
Боронование;Боронование
Культивация;Культивация
Оценка_качества_полевых_работ;Оценка качества полевых работ
Отчетная_таблица;Отчетная таблица
Сводная_таблица;Сводная таблица
Добавить_отчет;Добавить отчет
Выбор_мероприятия;Выбор мероприятия
Дата_начала_сева;Дата начала сева
Дата_окончания_сева;Дата окончания сева
Дата_операции;Дата операции
Оценка_качества_выполнения_полевых_работ;Оценка качества выполнения полевых работ
Проведенные_операции;Проведенные операции
Для_операций_0_не_задан_тип_для_оценки_качества;Для операций '{0}' не задан тип для оценки качества
Критерии_оценки_для_операций_0_не_найдены;Критерии оценки для операций '{0}' не найдены
Проведенная_операция;Проведенная операция
Отклонение_от_направления_предыдущей_операции;Отклонение от направления предыдущей операции
Глубина_рыхления_почвы;Глубина рыхления почвы
в_отдельных_местах_корка_отсутствует;в отдельных местах корка отсутствует
Наличие_гребней;Наличие гребней
Комковатость;Комковатость
наличие_глыб_диаметром;наличие глыб диаметром
диаметр_глыб;диаметр глыб
Неравномерность_внесения_мин_удобрений;Неравномерность внесения мин. удобрений
Наличие_перекрытий;Наличие перекрытий
Наличие_огрехов;Наличие огрехов
Допустимо;Допустимо
Недопустимо;Недопустимо
Глубина_культивации;Глубина культивации
Отклонение_глубины_обработки_от_заданной;Отклонение глубины обработки от заданной
Равномерность_обработки;Равномерность обработки
Глыбистость;Глыбистость
Подрезание_сорняков;Подрезание сорняков
Полное;Полное
Неполное;Неполное
Требуется_минимум_4_фотографии;Требуется минимум 4 фотографии
Фактическое_внесение_удобрений;Фактическое внесение удобрений
Посев;Посев
Использование_удобрений;Использование удобрений
С_внесением_удобрений;С внесением удобрений
Без_удобрений;Без удобрений
Фактический_посев;Фактический посев
шт_га;шт./га
Отклонение_средней_глубины_посева_от_заданной;Отклонение средней глубины посева от заданной
Равномерность_глубины_заделки_семян;Равномерность глубины заделки семян
равномерно;равномерно
неравномерно;неравномерно
Прямолинейность_рядков;Прямолинейность рядков
отклонение_от_прямолинейности_на_100_м_гона;отклонение от прямолинейности на 100 м гона
Оценка_выполнения_работы;Оценка выполнения работы
Площадь_проведенной_операции;Площадь проведенной операции
Оценка_операции;Оценка операции
Подтвержденная_оценка;Подтвержденная оценка
Причины_неудовлетворительной_оценки;Причины неудовлетворительной оценки
Дата_осмотра;Дата осмотра
Информация_о_дереве;Информация о дереве
Долгосрочный_план;Долгосрочный план
Использование_ТМЦ;Использование ТМЦ
Норма_на_1_га;Норма на 1 га
Общее_количество;Общее количество
Оперативный_план;Оперативный план
Использование_ресурсов;Использование ресурсов
Вторичная_субаренда;Вторичная субаренда
Продан;Продан
Продажа;Продажа
Передан_в_субаренду;Передан в субаренду
Выравненность_участка;Выравненность участка
Прикатывание;Прикатывание
Глубокорыхление;Глубокорыхление
Глубина_согласно_технологии;Глубина согласно технологии
Средняя_фактическая_глубина_рыхления;Средняя фактическая глубина рыхления
промерить_в_нескольких_точках_указать_среднюю;промерить в нескольких точках, указать среднюю
Гребнистость;Гребнистость
Дискование_0_10;Дискование 0-10
Отклонение_от_глубины_и_равномерности;Отклонение от глубины и равномерности
Степень_подрезания_сорняков;Степень подрезания сорняков
Отклонение_фактической_глубины_лущения_от_заданной;Отклонение фактической глубины лущения от заданной
Равномерность_глубины;Равномерность глубины
Огрехи_и_необработанные_полосы;Огрехи и необработанные полосы
Вспашка_паров;Вспашка паров
Отклонение_средней_глубины_вспашки_от_заданной;Отклонение средней глубины вспашки от заданной
Наличие_необработанных_полос_клиньев_других_огрехов;Наличие необработанных полос, клиньев и других огрехов
Вспашка;Вспашка
Высота_свального_гребня;Высота свального гребня
Глубина_вспашки;Глубина вспашки
Глубина_вспашки_под_свальным_гребнем;Глубина вспашки под свальным гребнем
Заделка_растительных_остатков_сорняков_удобрений;Заделка растительных остатков, сорняков, удобрений
не_полная;не полная
полная;полная
Процент_от_общей_площади_поля;% от общей площади поля
Равномерность_глубины_вспашки;Равномерность глубины вспашки
Глубина_дискования;Глубина дискования
Дискование;Дискование
Количество_оставшихся_сорняков;Количество оставшихся сорняков
Бабочки;Бабочки
Все_растение;Всё растение
Гусеницы;Гусеницы
Жуки;Жуки
Лист;Лист
Многолетние;Многолетние
Наличие_болезни;Наличие болезни
Наличие_вредителей;Наличие вредителей
Наличие_сорняков;Наличие сорняков
Обработка_сзр_1;Обработка СЗР-1
Однолетние;Однолетние
Орган_поражения;Орган поражения
после_обработки;после обработки
рабочей_жидкости;рабочей жидкости
Смешанные;Смешанные
Стебель;Стебель
Тип_вредителя;Тип вредителя
Тип_сорняков;Тип сорняков
Доля_комков;Доля комков
Культивация_после_обработки;Культивация (после обработки)
Более_половины_заданной_глубины_вспашки;Более половины заданной глубины вспашки
Менее_половины_заданной_глубины_вспашки;Менее половины заданной глубины вспашки
Десикация_после_обработки;Десикация (после обработки)
Есть;Есть
Норма_расхода_рабочей_жидкости;Норма расхода рабочей жидкости
Пожелтение_побурение_культуры;Пожелтение/побурение культуры
Увядание_сорняков;Увядание сорняков
Дискование_паров;Дискование паров
Допустимый_предел_глыбистости;Допустимый предел глыбистости
глыбы;глыбы
Наличие_неуничтоженных_сорняков;Наличие неуничтоженных сорняков
Обработка_гербицидами_после_обработки;Обработка гербицидами (после обработки)
Расстояние_между_деревьями;Расстояние между деревьями
Остановка;Остановка
Номер_дерева_с;Номер дерева с
Вы_уверены_что_хотите_удалить_тип_отношения;Вы уверены, что хотите удалить тип отношения
Информация_об_отношении_типа_качества_работ;Информация об отношении типа качества работ
Отношения_типов_качества_работ;Отношения типов качества работ
Высота_среза;Высота среза
Норма_среза;Норма среза
Норма_среза_должна_быть_больше;Норма среза должна быть больше
Потери;Потери
Вывоз_неликвидного_отхода;Вывоз неликвидного отхода
Очистка;Очистка
Сушка;Сушка
Атрибут_с_таким_именем_уже_был_добавлен;Атрибут с таким именем уже был добавлен
Видео_не_доступно_для_просмотра;Видео не доступно для просмотра, нажмите скачать для загрузки
Видео_не_существует;Видео не существует
Видео_обрабатывается;Видео обрабатывается, проверьте его состояние позже
Средняя_масса_плода;Средняя масса плода
Средняя_масса_плода_обязательна_для_заполнения;Средняя масса плода обязательна для заполнения
Обработка_сзр_2;Обработка СЗР-2
Развитие_болезни;Развитие болезни
Развитие_вредителей;Развитие вредителей
Отчет_хронометраж;"Отчет - ""Хронометраж"""
Хронометраж;Хронометраж
Валовый_сбор;Валовый сбор
Развлечения;Развлечения
Расчетные_значения;Расчетные значения
Ремонт;Ремонт
Планируемое;Планируемое
Прогнозное;Прогнозное
Фактическое;Фактическое
Количество_плодов_на_дереве;Количество плодов на дереве
Планируемый;Планируемый
Прогнозная;Прогнозная
Прогнозный;Прогнозный
Фактический;Фактический
уп;уп
Упаковки;Упаковки
Длина_ряда;Длина ряда
Ширина_междурядья_быть_больше;Qator oralig'i kattaroq bo'lishi kerak
Идентификатор_мониторинга_v2;Идентификатор мониторинга (v2)
Название_кадастра;Название кадастра
Показывать_незадействованные_цветовые_фильтры;Показывать незадействованные цветовые фильтры
В_ряду_0_уже_есть_посадочное_место_1;В ряду {0} уже есть посадочное место {1}
Google_Карта;Google-Карта
Дублировать;Дублировать
Расход_по_дут;Расход по ДУТ
Группировка_операций_по_исполнителям;Группировка операций по исполнителям
Отчет_полевые_осмотры;"Отчет - ""Полевые осмотры"""
Выявленная_проблема;Выявленная проблема
Полевые_осмотры;Полевые осмотры
Вид_разрешенного_использования;Вид разрешенного использования
Наличие_ограничения_обременения;Наличие ограничения/обременения
Расширенный_вид;Расширенный вид
Добавить_новый_шаблон_документа;Добавить новый шаблон документа
Для_формирования_документа_выберите_необходимую_форму;Для формирования документа выберите необходимую форму
Прежде_чем_загрузить_документ_расставьте_в_нем_теги;Прежде чем загрузить документ расставьте в нем <span class='tag'>теги</span>
Инструкция_по_шаблону_документа_1;"Если при загрузке файла выбрать ""Формировать документ за день"", то документы будут формироваться по каждым уникальным записям ""Исполнитель + Техника"" за указанный период в разрезе календарных дней. (Например: выбрали период с 01.10.2021 по 03.10.2021, получили по 3 путевых листа по каждым уникальным ""Исполнитель + Техника"" за каждый день выбранного периода).
<br/>
Для тегов, расставленных в документе, подтягиваются данные из подопераций, начинающихся в выбранный день."
Инструкция_по_шаблону_документа_2;"Если при загрузке файла выбрать ""Формировать документ за месяц"", то документы будут формироваться по каждым уникальным записям ""Исполнитель + Техника"" за указанный период в разрезе календарных месяцев. (Например: выбрали период с 01.10.2021 по 03.11.2021, получили по 2 учетных листа по каждым уникальным ""Исполнитель + Техника"": первый с 01.10.2021 по 31.10.2021 и второй с 01.11.2021 по 03.11.2021).
<br/>
Для тегов, расставленных в документе, последовательно подтягиваются данные из подопераций, осуществленных в заданный период. (Только для помеченных звездочкой *).
<br/>
Данные в таблице группируются в отчет за выбранный период.
<br/>
Данные по подоперациям, выполняемым в рамках одного дня, по каждым уникальным записям ""Исполнитель + Техника"", объединяются."
doc_tml_tag_org_name;Название организации
doc_tml_tag_org_address;Местонахождение организации
doc_tml_tag_org_phone;Телефон организации
doc_tml_tag_build_year;Год формирования документа
doc_tml_tag_build_mongth;Месяц формирования документа
doc_tml_tag_build_day;День формирования документа
Формировать_документ_за;Формировать документ за
Первичные_документы;Первичные документы
Вы_уверены_что_хотите_удалить_данный_шаблон_документа;Вы уверены, что хотите удалить данный шаблон документа?
Страница_формирования_документов;Страница формирования документов
Агроноут;Создание карты Агроноут
Переход_на_сайт_партнера;Переход на сайт партнера
doc_tml_ttag_executor_full_name_plan;ФИО исполнителя (план)*
doc_tml_ttag_executor_profession_plan;Профессия исполнителя (план)*
doc_tml_ttag_accounter_full_name;ФИО учетчика*
doc_tml_ttag_agronomist_full_name;ФИО агронома*
doc_tml_ttag_machine_manufacturer_plan;Производитель машины (план)*
doc_tml_ttag_machine_model_plan;Модель машины (план)*
doc_tml_ttag_machine_reg_num_plan;Регистрационный номер машины (план)*
doc_tml_ttag_machine_inv_num_plan;Инвентарный номер машины (план)*
doc_tml_ttag_instrument_man_mod_plan;Прицеп (производитель, модель) (план)*
doc_tml_ttag_instrument_inv_num_plan;Инвентарный номер прицепа (план)*
doc_tml_ttag_treatment_type_plan;Вид работы (план)*
doc_tml_ttag_start_date_plan;Дата начала работы (план)*
doc_tml_ttag_end_date_plan;Дата окончания работы (план)*
doc_tml_ttag_start_date_fact;Дата начала работы (факт)*
doc_tml_ttag_end_date_fact;Дата окончания работы (факт)*
doc_tml_ttag_start_time_plan;Время начала работы (план)*
doc_tml_ttag_end_time_plan;Время окончания работы (план)*
doc_tml_ttag_start_time_fact;Время начала работы (факт)*
doc_tml_ttag_end_time_fact;Время окончания работы (факт)*
doc_tml_ttag_start_day_plan;День начала работы (план)*
doc_tml_ttag_start_day_fact;День начала работы (факт)*
doc_tml_ttag_crop;Культура*
doc_tml_ttag_handled_square_ha_plan;Обработанная площадь, га (план)*
doc_tml_ttag_handled_square_ha_fact;Обработанная площадь, га (факт)*
doc_tml_ttag_engine_hours_start_fact;Моточасы на начало (факт)*
doc_tml_ttag_engine_hours_end_fact;Моточасы на конец (факт)*
doc_tml_ttag_engine_hours_totals_fact;Моточасы (итого за работу) (факт)*
doc_tml_ttag_fuel_liters_reminder_on_enter_fact;Остаток ГСМ при въезде на линию, л (факт)*
doc_tml_ttag_fuel_liters_reminder_on_leave_fact;Остаток ГСМ при возвращении с линии, л (факт)*
doc_tml_ttag_fuel_liters_tanked_up_fact;Выдано ГСМ, л (факт)*
doc_tml_ttag_fuel_liters_totally_spent_fact;Расход ГСМ, л (итого по факту за работу)*
doc_tml_ttag_fuel_liters_totally_spent_by_norm;Расход ГСМ, л (итого по норме за работу)*
doc_tml_ttag_mileage_km_kargo;Пробег, км (с грузом)*
doc_tml_ttag_mileage_km_totally;Пробег, км (итого за работу)*
doc_tml_ttag_work_unit;Единица измерения объема выполненной работы*
doc_tml_ttag_prod_norm;Норма выработки*
doc_tml_ttag_tariff;Расценка*
doc_tml_spec_tab_dummy_row;Строка*
doc_tml_spec_tab_start;Таблица*
doc_tml_spec_tab_end;Таблица*
Инструкция_по_шаблону_документа_3;Правила заполнения табличных данных
doc_tml_tag_executor_full_name_plan;ФИО исполнителя (план)
doc_tml_tag_executor_profession_plan;Профессия исполнителя (план)
doc_tml_tag_machine_manufacturer_plan;Производитель машины (план)
doc_tml_tag_machine_model_plan;Модель машины (план)
doc_tml_tag_machine_reg_num_plan;Регистрационный номер машины (план)
doc_tml_tag_machine_inv_num_plan;Инвентарный номер машины (план)
doc_tml_tag_instrument_man_mod_plan;Прицеп (производитель, модель) (план)
doc_tml_tag_instrument_inv_num_plan;Инвентарный номер прицепа (план)
Название_заболевания;Название  заболевания
Время_хронометража;Время хронометража
Период_хронометража_выходит_за_пределы_операции;Период хронометража выходит за пределы операции
Пропущенные_под_операции_со_статусом_хронометраж;Пропущенные подоперации со статусом хронометраж
Успешно_обработанных_под_операций;Успешно обработанных подопераций
Повреждения;Повреждения
Информация_о_повреждении;Информация о повреждении
Вредность;Вредность
Пораженные_органы;Пораженные органы
Вы_уверены_что_хотите_удалить_повреждение;Вы уверены что хотите удалить повреждение?
Древесина;Древесина
Листья;Листья
Плоды;Плоды
Загрузка_данных;Загрузка данных
Загрузить_данные_по_кварталам;Загрузить данные по кварталам
Загрузить_данные_по_рядам;Загрузить данные по рядам
Тип_подвоя;Тип подвоя
Период_посадки;Период посадки
Информация_о_сорняке;Информация о сорняке
Созависимые_объекты;Созависимые объекты
Вместимость_склада;Вместимость склада
Площадь_кв_м;Площадь, м2
Фактическая_наполненность;Фактическая наполненность
Контролируемые_виды_ТС;Контролируемые виды ТС
Максимально_время_между_приложениями_метки;Максимально-допустимое время между приложениями метки (в минутах)
Отслеживаемые_пользователи;Отслеживаемые пользователи
Прерывающие_виды_ТС;Прерывающие виды ТС
EntityAlreadyExistsErrorMessage;{0} уже существует.
Введите_наименование_согласно_шаблону_0_пример_1;Введите наименование согласно шаблону {0}. Пример: {1}
Включена;Включена
Маска;Маска
Маска_для_наименований_полей;Маска для наименований полей
Некорректный_формат_наименования_поля;Некорректный формат наименования поля
Маска_не_может_быть_пустой;Маска не может быть пустой
Объединять_подоперации;Объединять подоперации
Сортировать_по_исполнителям;Сортировать по исполнителям
Квартал;Квартал
Ряд_деревьев;Ряд деревьев
Часть_ряда;Часть ряда
ЭПВ;ЭПВ
Количество_на_кв_метр;Количество на кв. метр
Высота;Высота
ЭПЧ;ЭПЧ
шт_100_пл;шт/100 пл.
шт_100_лист;шт/100 лист
шт_лист;шт/лист
шт_дер;шт/дер
Север;Север
Юг;Юг
Запад;Запад
Восток;Восток
Информация_о_заболевании_деревьев;Информация о заболевании деревьев
Диаметр_плода;Диаметр плода
Кнопка_Дублировать;"Кнопка ""Дублировать"""
Внимание;Внимание
Результат_загрузки;Результат загрузки
Загрузить_новые_данные;Загрузить новые данные
Операции_по_кадастрам;Операции по кадастрам
Завершить_операцию;Завершить операцию
Вид_операции;Вид операции
Отметка_руководителя;Отметка руководителя
Наименование_операции;Наименование операции
Внутренние_работы;Внутренние работы
Проверка_гос_органами;Проверка гос. органами
Сделка;Сделка
Создать_план;Создать план
Среднесуточный_анализ_показателей_качества;Среднесуточный анализ показателей качества
Дата_отбора_с;Дата отбора с
Дата_отбора_по;Дата отбора по
Анализ_показателей_качества;Анализ показателей качества
Влажность_зерна;Влажность
Дата_создания;Дата создания
Вес_нетто;Вес нетто
Сюрвейер;Сюрвейер
Дата_отбора;Дата отбора
Показатели_качества;Показатели качества
Документы_взвешивания;Документы взвешивания
Показатель_качества;Показатель качества
Данные_сюрвеера;Данные сюрвеера
Данные_по_реестру;Данные по реестру
Натура;Натура
г_на_л;г/л
Сорная_сюрвейер;Сорная сюрвейер
Зерновая_масличная_примесь;Зерновая/масличная примесь
в_т_ч;в т.ч.
Проросшие;Проросшие
Клоп_черепашка;Клоп-черепашка
Клейковина;Клейковина
ИДК;ИДК
ЧП;ЧП
сек;сек
Масличность;Масличность
КЧМ;КЧМ
Запах;Запах
Органолептический;Органолептический
Цвет;Цвет
шт_кг;шт/кг
Зараженность;Зараженность
Добавить_взвешивания;Добавить взвешивания
Вы_уверены_что_хотите_удалить_анализ;Вы уверены что хотите удалить анализ?
Выгружено_в_1С;Выгружено в 1С
Ввод_для_тестирования;Ввод для тестирования
Примеры;Примеры
Значения;Значения
Не_указан;Не указан
Белый_бутон;Белый бутон
Выдвижение_бутонов;Выдвижение бутонов
Выдвижение_соцветий;Выдвижение соцветий
Грецкий_орех;Грецкий орех
Завязь_1_5_см;Завязь 1,5 см
Зеленый_конус;Зеленый конус
Лещина;Лещина
Мышиные_ушки;Мышиные ушки
Набухание_почек;Набухание почек
Налив_плода;Налив плода
Начало_набухания_почек;Начало набухания почек
Начало_цветения;Начало цветения
Окончание_цветения;Окончание цветения
Опадение_завязи;Опадение завязи
Полное_цветение;Полное цветение
Разрыхление_бутонов;Разрыхление бутонов
Розовый_бутон;Розовый бутон
Рост_плода;Рост плода
Созревание_плода;Созревание плода
Спящая_почка;Спящая почка
Состояние_ряда;Состояние ряда
Обследование_полей;Обследование полей
Общехозяйственные_работы;Общехозяйственные работы
Погрузочно_разгрузочные_работы;Погрузочно-разгрузочные работы
Ручные_работы;Ручные работы
Транспортные_работы;Транспортные работы
Идет_генерация_путевого_листа;Идет генерация путевого листа
Печать_путевого_листа;Печать путевого листа
Пожалуйста_не_закрывайте_окно;Пожалуйста, не закрывайте окно
Завершить_выбранные_операции;Завершить выбранные операции? Данное действие нельзя будет отменить
Сохранить_путь_полета_dji_kml;Сохранить как путь полёта для dji дрона .kml
